,Elapsed Time,Sample_Cell#,I_ph(suns),V_oc(V),mpp(V),J_sc(mA),R_sh,R_ser,FF,PCE(%)
9,10.437400710582732,fp2_3R_092209,0.805,1.0168307982574405,0.5500000000000025,15.490664000000011,348.8896728632732,235.29233839636456,0.3975003151683988,6.2611802000000285
11,11.49985161225001,fp2_1R_092312,0.805,1.0267076941183713,0.5000000000000027,16.425082000000014,322.15184745962057,153.58779019236658,0.3272892660356859,5.51932700000003
65,4390.440050363541,fp2_1R_102209,0.805,0.0,0.0,2.79209200000002e-05,19681769.423104525,0.0,0.0,0.0
69,4392.162802215417,fp2_3R_102352,0.805,0.0,0.0,8.8851139999994e-06,-15233205.617490398,0.0,0.0,0.0
