,Elapsed Time,Sample_Cell#,I_ph(suns),V_oc(V),mpp(V),J_sc(mA),R_sh,R_ser,FF,PCE(%)
23,23.410426568984985,enfap4_1R_093507,0.805,1.0355226965137536,0.7500000000000018,20.999839999999967,-368.4684817941202,10.585754591119212,0.6448929652086768,14.023720500000035
27,25.42654845714569,enfap4_3R_093708,0.805,1.0363107431454233,0.7500000000000018,22.232640000000004,1558.816222168265,9.70248147225128,0.6560327720530921,15.114945000000034
77,4415.79766947031,enfap4_3R_104730,0.805,1.0356082600088994,0.5250000000000026,22.504100000000005,1890.6128246256328,33.311162136451244,0.3691726185365928,8.603727300000044
79,4417.767541456223,enfap4_1R_104928,0.805,1.0375280113583347,0.8250000000000015,21.33384,1151.944457009325,5.2057870099098125,0.739259668905231,16.363111050000036
