,Elapsed Time,Sample_Cell#,I_ph(suns),V_oc(V),mpp(V),J_sc(mA),R_sh,R_ser,FF,PCE(%)
3,5.84846758445104,fp1L_2R_091733,0.805,1.046156107952616,0.5250000000000026,15.89216800000002,268.44755840318686,105.47894976342675,0.3542778728740015,5.890113600000029
55,4377.284488892556,fp1L_2R_100859,0.805,1.0536105187210203,0.5250000000000026,16.23165600000002,297.8531547449686,117.44717945560978,0.35124865928935,6.006999600000029
