,Elapsed Time,Sample_Cell#,I_ph(suns),V_oc(V),mpp(V),J_sc(mA),R_sh,R_ser,FF,PCE(%)
1,4.064609138170878,fp1_1R_091546,0.805,1.0314675150582784,0.675000000000002,16.42512800000002,266.92983249500924,82.09460802910407,0.4681114137074998,7.930737000000024
5,6.697633548577627,fp1_3R_091824,0.805,1.0233134004731654,0.6500000000000021,17.17073200000001,417.20739763600494,55.45868700584933,0.4966396311625568,8.72647490000003
53,4375.820064381758,fp1_1R_100732,0.805,1.050135577437047,0.400000000000003,11.750828000000045,91.28231382029875,224.5961592073353,0.197613825056909,2.438547200000019
57,4378.069250957171,fp1_3R_100947,0.805,1.0497370751660813,0.675000000000002,17.115032000000014,470.6531359802435,67.27127939631927,0.4941329259473008,8.877732300000027
