,Elapsed Time,Sample_Cell#,I_ph(suns),V_oc(V),mpp(V),J_sc(mA),R_sh,R_ser,FF,PCE(%)
13,15.145158473650614,enfap2_1R_092651,0.805,1.015037981398415,0.6500000000000021,17.984490000000005,725.6270526756466,29.77932461978305,0.547589702660377,9.996217400000036
17,16.718028712272645,enfap2_3R_092825,0.805,0.0,0.0,21.519800000000007,785.0253979507605,0.0,0.0,0.0
59,4381.3939349293705,enfap2_1R_101306,0.805,1.017203082607263,0.6250000000000022,18.467512000000006,867.5563104302983,25.91428329257184,0.5153381266801885,9.680735000000034
63,4385.270028241475,enfap2_3R_101659,0.805,0.0,0.0,21.83348000000001,559.409422817761,0.0,0.0,0.0
